,strategy_return,benchmark_return,strategy_cumulative,benchmark_cumulative
2024-07-17,0.0035314227897811357,-0.005738549301132767,1.0254807999512308,1.0981415740708447
2024-07-18,-0.0027253950004687,-0.004299472887696443,1.022685959705967,1.0934201441462748
2024-07-19,-0.004955046943516034,-0.006955037313412932,1.0176185027671492,1.0858153662445
2024-07-22,-0.0048158723179882994,0.0018358908124982976,1.0127177819894002,1.0878088046994576
2024-07-23,0.0012965100829024911,0.0005141382998311572,1.014030780804884,1.088368088868847
2024-07-24,0.0019860357294164133,-0.009343868210698214,1.0160446821662905,1.0781985208817269
2024-07-25,-0.0005432833224890132,-0.003156096482766796,1.0154926820355659,1.0747956223222477
2024-07-26,0.0015720598976260713,0.007175974103690946,1.0170890973573268,1.0825083278747925
2024-07-29,0.0016158961751828738,0.001906582946121671,1.0187326077395666,1.0845722197917531
2024-07-30,0.004899850818207152,0.002369533872580931,1.0237242455411337,1.08714215040381
2024-07-31,0.0016179501816658837,0.009746729640249585,1.0253805803701828,1.0977382310243153
2024-08-01,0.005685951278378953,-0.0013952039509244063,1.0312108443919634,1.0962066623073095
2024-08-02,0.009456807395746641,0.0001491469091157438,1.0409628067317835,1.0963701581427447
2024-08-05,0.004095479071303004,-0.010466139567568783,1.0452260481207585,1.0848953950499054
2024-08-06,-0.00914433808480336,-0.004536270512968843,1.0356681477616994,1.079974016059685
2024-08-07,0.00022388189855029883,-0.003119945708559696,1.0359000151128883,1.0766045557629236
2024-08-08,-0.0030178296330223564,0.008537970906379616,1.0327738453504323,1.0857965741377031
2024-08-09,0.0017039698993585872,0.003916742407103241,1.0345336608957543,1.0900493596251155
2024-08-12,0.0050498085365467404,0.005308424271877443,1.0397578578078905,1.095835804103294
2024-08-13,-0.004095168749419981,0.004128389495199752,1.035499873921632,1.1003598411254178
2024-08-14,-0.0009660385939352645,0.00060685119075779,1.0344995410794084,1.1010275958052669
2024-08-15,-0.004554804277001501,0.004017321760479198,1.0297875981451439,1.1054507779247835
2024-08-16,0.0046613160381086816,0.005787462954127659,1.0345877635922232,1.1118485333496348
2024-08-19,-0.0018102646995174485,0.001807099787000943,1.0327148858852395,1.1138577545974284
2024-08-20,0.004282769271479164,0.0015587981159933817,1.0371377654647078,1.1155940339667796
2024-08-21,-0.00028844910447395344,-0.0001060900906199036,1.0368386040050435,1.115475680494621
2024-08-22,-0.004662579651361576,-0.006277039875030033,1.0320042614282634,1.1084737951685302
2024-08-23,0.003992784730303123,0.005081698430024428,1.036124832284902,1.1141067247131613
2024-08-26,0.00028109547751831165,5.772480904064903e-05,1.0364160822894017,1.1141710363110964
2024-08-27,0.0006644044961205409,-0.00018692766070604883,1.0371046817943266,1.1139627669256522
2024-08-28,-0.002054983943184513,-0.0020616509656134208,1.0349734483258377,1.1116661645115626
2024-08-29,-0.00041762222794727855,0.0013595343315497832,1.0345412204084816,1.1131775128274384
2024-08-30,-0.007606395316483799,-0.0012997760925030077,1.0266720909148572,1.1117306313095534
2024-09-03,-0.013038164864013265,-0.001750571867501327,1.013286170932228,1.1097844669421435
2024-09-04,-0.0026249012661222204,0.0016077013401003815,1.0106263947792038,1.111568668916869
2024-09-05,-0.0038403014071867747,0.00261717316404364,1.006745284813193,1.11447783660715
2024-09-06,-0.002618318918068435,-0.005797375516054998,1.0041093045882905,1.1080167900840177
2024-09-09,-0.003,0.00598334400511108,1.0010969766745257,1.1146464357025294
2024-09-10,0.0,0.004025582999119537,1.0010969766745257,1.1191335374441227
2024-09-11,0.0,0.0022654602677799063,1.0010969766745257,1.1216688900075422
2024-09-12,0.0,0.004280735727713841,1.0010969766745257,1.1264704580996627
2024-09-13,0.0,0.004077153992341459,1.0010969766745257,1.1310632516251584
2024-09-16,0.0,0.0018731136506593138,1.0010969766745257,1.1331818616415366
2024-09-17,0.0,-0.001724399494585388,1.0010969766745257,1.1312278034120486
2024-09-18,0.0,-0.005463586040285462,1.0010969766745257,1.1250472429769438
2024-09-19,0.0,0.00626307716933866,1.0010969766745257,1.13209350067886
2024-09-20,0.0,0.002258350101814882,1.0010969766745257,1.1346501641513822
2024-09-23,0.0,0.0008811008905798001,1.0010969766745257,1.1356499054215126
2024-09-24,0.0,0.0027142922448939177,1.0010969766745257,1.1387323911527127
2024-09-25,0.0,-0.0012515599423143509,1.0010969766745257,1.1373071993069301
2024-09-26,0.0,0.001715512964574284,1.0010969766745257,1.1392582645520448
2024-09-27,0.0,-0.0011570619801649917,1.0010969766745257,1.1379400721285429
2024-09-30,0.0,-0.0012033433568986451,1.0010969766745257,1.1365707395021982
2024-10-01,0.0,0.0032391461205853733,1.0010969766745257,1.1402522582038277
2024-10-02,0.0,-0.000904868698450606,1.0010969766745257,1.1392204796270413
2024-10-03,0.0,-0.002128172753572022,1.0010969766745257,1.136796021641988
2024-10-04,0.0,0.00010494217812795359,1.0010969766745257,1.136915319492586
2024-10-07,-0.0024479747356344313,-0.0048848690464314,0.9986463165677064,1.131361637039983
2024-10-08,0.003787263159463067,0.0009456160086976084,1.0024284529717769,1.1324314707155945
2024-10-09,0.005656378087919661,6.745625007040235e-05,1.0080985673078737,1.1325078602960708
2024-10-10,-0.0013114643999651288,0.0004384177316522908,1.0067764819251936,1.13300437182326
2024-10-11,-0.00011599007846807563,0.0032982895226554287,1.0066597058420552,1.1367413482719675
2024-10-14,0.0030933360209573213,0.0026773420172900575,1.0097736425709827,1.139784793646487
2024-10-15,-0.005639509164574924,0.002128386859779424,1.0040790148595575,1.1422106966242607
2024-10-16,-0.0005770098404959123,0.004061036278007357,1.0034996513873482,1.1468492557003798
2024-10-17,0.0032459181154662897,-0.001712457727567257,1.0067569290846505,1.144885324830101
2024-10-18,-0.0025421899418800464,0.00316526492124114,1.0041975617456136,1.1485091901876294
2024-10-21,-0.008854831858648712,-0.003720521511874464,0.9953055611834912,1.1442361370389507
2024-10-22,-0.002849544435977569,0.0031001017944948805,0.9924693937595234,1.1477833855407111
2024-10-23,-0.0008001989985603752,-0.005159431945490678,0.9916752207445351,1.141861475274849
2024-10-24,0.0011641333496480166,0.0031657286834951004,0.9928296629410233,1.1454762988997047
2024-10-25,-0.0028423380832327816,-0.00014719040390789861,0.9900077053798828,1.1453076957806028
2024-10-28,-4.560481844958922e-05,8.379590573096007e-05,0.9899625562582153,1.1454036678763113
2024-10-29,-0.0028151849529635675,0.003630116603857314,0.9871756285658397,1.1495616167491882
2024-10-30,-0.0022124273319479304,0.0006989459748887872,0.9849915742237678,1.1503650982141016
2024-10-31,-0.001339377640470013,-0.008462307161214738,0.9836722985332012,1.1406303554054729
2024-11-01,0.004585931139953536,-0.0024736206661157834,0.9881833519585543,1.1378088685859429
2024-11-04,-0.005510777083291867,0.0027608373605962633,0.9827376937884906,1.1409501738195527
2024-11-05,0.001133476494065866,0.003803664064046919,0.9838516038642323,1.145289964994578
2024-11-06,0.020636254874169896,-0.004122467410353076,1.0041546163199355,1.1405685444384834
2024-11-07,-0.005211621297681934,0.007067142223527445,0.9989213427353569,1.1486291045577117
2024-11-08,-0.00039689392996600237,0.004226069298745527,0.9985248769179118,1.1534832907521286
2024-11-11,0.007313983308166211,-0.0053728523665431405,1.0058280712004781,1.147285795323643
2024-11-12,0.005136863470801611,-0.005600303441609666,1.0109948726773346,1.1408606467355822
2024-11-13,0.005020427754663187,-0.0033233513983698393,1.0160704993959462,1.1370691659099084
2024-11-14,-0.0024099061028778346,0.0001793794010891414,1.0136218648984978,1.1372731326958863
2024-11-15,-0.002079153206134665,-0.004589089238842631,1.011514389748286,1.1320540848010068
2024-11-18,-0.006180343030114387,0.004965676494762067,1.0052628838397446,1.1376754991607025
2024-11-19,-0.00271418395716555,0.004359504665932323,1.0025344154476927,1.1426352008076106
2024-11-20,0.0007594580543478224,0.0019332622033202684,1.0032957982842652,1.1448442142535153
2024-11-21,0.00024503299862127514,0.004061699857249967,1.003541638862223,1.1494942278351223
2024-11-22,-0.001221362372980428,0.005460301309094251,1.0023159508647974,1.1557708126721669
2024-11-25,4.3626028103815884e-05,-0.0017370073971824107,1.0023596779286388,1.1537632302211078
2024-11-26,0.0020386477036515027,0.0011145123632134435,1.004403136184281,1.1550491136054104
2024-11-27,-0.00519229178017519,-0.0006255269810498676,0.999187982036289,1.1543265992204124
2024-11-29,-0.003540354938595086,0.005919500633938507,0.995650501929502,1.1611596362562697
2024-12-02,-0.001217509039284856,0.000301728751256225,0.9944382884434343,1.1615099915033262
2024-12-03,-0.0025313253718292628,-0.0015249172219771734,0.991921041573179,1.1597387849137843
2024-12-04,0.0035597321205093624,0.004896575117725732,0.9954520147658762,1.1654175329910545
2024-12-05,0.003296666074827259,-0.0031029498254720456,0.9987336876520733,1.161801300860458
2024-12-06,0.00011338481439387982,0.0015658744349743015,0.9988469288858767,1.1636205358159952
2024-12-09,-0.003418051999213216,-0.0006610372808189824,0.9954328181436903,1.1628513392610942
2024-12-10,-0.0034440580366341123,0.0018953147071726906,0.9920044897464332,1.1650553085066513
2024-12-11,0.0010143728228715343,0.002852629321710376,0.9930107521409985,1.1683787794411118
2024-12-12,0.004616570011106602,-0.007197128685302645,0.9975950558000392,1.1599698070122972
2024-12-13,0.005444157575699243,-0.005545220419944569,1.003026120480553,1.1535375187519334
2024-12-16,0.00014791000269182009,0.001991686001149351,1.0031744780767333,1.1558350032798321
2024-12-17,-0.0009559905261417034,-0.001107387038401797,1.0022154527796248,1.154555046578669
2024-12-18,-0.0023835785532283493,-0.012515772916492807,0.9998265935206652,1.1401048977960995
2024-12-19,0.0028271431353247556,-0.0029834039867728535,1.0026532464110522,1.1367035042986753
2024-12-20,0.0002169594040213052,0.005792280236119135,1.0028707814618336,1.1432876095409519
2024-12-23,0.001174539473446369,-0.0010963191854328203,1.0040486927814265,1.1420342014001446
2024-12-24,0.002278395587033799,0.0050670578880733785,1.0063363128922267,1.1478209548087988
2024-12-26,-0.0016709179851435718,0.0010262524703646692,1.004654807447912,1.1489989088992074
2024-12-27,-0.0009142331180002072,-0.0068350281230978305,1.003736318750785,1.1411454690434726
2024-12-30,-0.0020542307553762518,-0.0013832551687560368,1.001674412734519,1.1395669736751157
2024-12-31,-0.002468189966172041,0.0004429251986917959,0.9992020899996363,1.1400717166033534
